pmt_id,min_dark_count_rate,spe_gain_at_800v,min_energy_resolution,app,has_app,n_records
LV2238,382.0000,6.2775,0.3175,,False,1
LV2245,233.0000,6.3169,0.3547,,False,1
LV2246,338.0000,5.0700,0.3290,,False,1
LV2250,357.0000,5.0081,0.3796,,False,1
LV2252,296.0000,4.8056,0.3527,,False,1
LV2258,152.0000,4.7325,0.4267,,False,1
LV2263,491.0000,4.4831,0.4053,,False,1
LV2266,345.0000,4.9350,0.3699,,False,1
LV2269,439.0000,4.4231,0.4085,,False,1
LV2270,408.0000,5.2538,0.3376,,False,1
LV2274,478.0000,5.2106,0.3529,,False,1
LV2305,336.6121,5.2425,0.3551,,False,2
LV2309,777.0000,3.3900,0.4078,,False,1
LV2339,607.0000,4.5600,0.3409,,False,1
LV2354,255.0000,4.1906,0.4237,,False,1
LV2355,612.0000,4.1719,0.3399,,False,1
LV2368,517.0000,3.2550,0.4044,,False,1
LV2371,241.4305,4.4437,0.4291,,False,2
LV2392,875.0000,4.2469,0.4450,,False,1
LV2395,984.0000,3.5044,0.4737,,False,1
LV2397,588.0000,4.5038,0.4442,,False,1
LV2401,334.0000,4.1437,0.4467,,False,1
