pmt_id,min_dark_count_rate,spe_gain_at_800v,min_energy_resolution,app,has_app,n_records
LV2204,121.8012,7.1667,0.4651,2.4900,True,3
LV2205,860.7257,6.3754,0.4997,2.5400,True,2
LV2206,218.9578,6.5690,0.4815,4.9000,True,3
LV2231,608.3559,10.2196,0.4680,4.2800,True,3
LV2234,286.2036,10.9710,0.4473,4.6100,True,4
LV2235,766.4260,8.5268,0.4787,4.0500,True,3
LV2236,682.6811,8.6764,0.3859,1.9300,True,3
LV2237,520.2628,8.0294,0.3410,2.0000,True,3
LV2238,382.0000,6.2775,0.3175,,False,1
LV2245,233.0000,6.3169,0.3547,,False,1
LV2246,338.0000,5.0700,0.3290,,False,1
LV2250,357.0000,5.0081,0.3796,,False,1
LV2252,296.0000,4.8056,0.3527,,False,1
LV2258,152.0000,4.7325,0.4267,,False,1
LV2259,258.0000,8.4123,0.3448,3.8800,True,3
LV2261,306.0000,8.6438,0.3246,3.1900,True,3
LV2263,491.0000,4.4831,0.4053,,False,1
LV2266,345.0000,4.9350,0.3699,,False,1
LV2269,439.0000,4.4231,0.4085,,False,1
LV2270,408.0000,5.2538,0.3376,,False,1
LV2274,478.0000,5.2106,0.3529,,False,1
LV2275,288.0000,6.4781,0.3453,4.6500,True,1
LV2276,1147.0000,5.2387,0.3399,,False,1
LV2294,283.0000,7.2820,0.3735,1.5900,True,3
LV2305,336.6121,5.2425,0.3551,,False,2
LV2309,777.0000,3.3900,0.4078,,False,1
LV2312,619.0000,2.7262,0.4798,1.6800,True,1
LV2317,382.1974,7.9938,0.3474,4.1200,True,5
LV2319,502.5961,9.4000,0.3751,4.1600,True,13
LV2324,1162.0000,6.0146,0.3292,2.4800,True,4
LV2326,1057.3832,6.4907,0.4109,2.5000,True,3
LV2331,1017.4718,7.7596,0.4006,2.5700,True,4
LV2335,237.8963,7.7343,0.3486,2.0600,True,5
LV2336,408.3909,7.6972,0.4101,3.6100,True,4
LV2337,360.0000,6.5211,0.4365,1.4500,True,3
LV2339,607.0000,4.5600,0.3409,,False,1
LV2343,565.4625,6.6324,0.3936,4.5500,True,3
LV2345,76.8215,7.8030,0.3871,2.1700,True,5
LV2347,159.2247,6.8245,0.3544,2.0700,True,5
LV2348,1098.0000,5.4281,0.3328,,False,1
LV2349,386.4646,6.8364,0.3994,4.8600,True,3
LV2354,255.0000,4.1906,0.4237,,False,1
LV2355,612.0000,4.1719,0.3399,,False,1
LV2356,591.0000,5.6713,0.3592,1.4400,True,3
LV2359,409.0000,3.0881,0.3748,1.6000,True,1
LV2361,790.5229,5.8455,0.4511,4.4700,True,3
LV2362,1042.9144,5.7959,0.4231,2.7200,True,4
LV2365,417.2186,5.9784,0.4184,2.4700,True,4
LV2366,746.0000,3.3112,0.3459,1.3700,True,1
LV2367,1021.0000,4.0012,0.4118,,False,1
LV2368,517.0000,3.2550,0.4044,,False,1
LV2369,267.8410,4.4214,0.4442,1.2000,True,3
LV2371,241.4305,4.4437,0.4291,,False,2
LV2377,411.0000,9.1886,0.4229,4.1500,True,3
LV2378,628.0386,6.9276,0.3487,2.7400,True,3
LV2380,495.7625,11.1000,0.3366,3.1600,True,13
LV2381,1002.0000,4.0388,0.4800,,False,1
LV2382,325.2413,7.5585,0.3353,3.0800,True,5
LV2383,499.0000,6.3890,0.3642,2.3000,True,3
LV2384,1073.0000,5.1487,0.4017,,False,1
LV2386,1133.0000,4.7850,0.4291,,False,1
LV2387,549.7292,10.3000,0.4098,1.5100,True,13
LV2389,863.1383,11.1400,0.4122,1.5100,True,13
LV2390,368.9304,7.3117,0.3369,2.9600,True,5
LV2391,305.6434,10.3000,0.3893,0.8100,True,13
LV2392,875.0000,4.2469,0.4450,,False,1
LV2393,1107.0000,3.8381,0.4890,,False,1
LV2394,533.1737,7.7226,0.4055,2.3300,True,3
LV2395,984.0000,3.5044,0.4737,,False,1
LV2397,588.0000,4.5038,0.4442,,False,1
LV2401,334.0000,4.1437,0.4467,,False,1
LV2411,386.3778,9.8613,0.4584,3.2600,True,2
LV2415,78.0737,8.8904,0.4955,1.6800,True,2
LV2417,161.3602,11.8631,0.4913,4.3700,True,3
LV2418,244.8365,8.9548,0.4942,4.2900,True,3
LV2419,123.2962,8.6101,0.4883,3.7800,True,3
LV2424,93.8399,7.3414,0.4885,4.4200,True,3
LV2425,468.5778,5.9923,0.4775,1.7600,True,4
LV2426,36.6906,6.6827,0.4822,2.9800,True,4
LV2430,481.8080,8.2284,0.4672,3.5200,True,3
LV2433,179.9055,9.0315,0.4624,4.7500,True,5
LV2437,86.2531,8.0534,0.4855,3.1900,True,3
