pmt_id,min_dark_count_rate,spe_gain_at_800v,min_energy_resolution,app,has_app,n_records
LV2204,121.8012,7.1667,0.4651,2.49,True,3
LV2205,860.7257,6.3754,0.4997,2.54,True,2
LV2206,218.9578,6.569,0.4815,4.9,True,3
LV2231,608.3559,10.2196,0.468,4.28,True,3
LV2234,286.2036,10.971,0.4473,4.61,True,4
LV2235,766.426,8.5268,0.4787,4.05,True,3
LV2236,682.6811,8.6764,0.3859,1.93,True,3
LV2237,520.2628,8.0294,0.341,2.0,True,3
LV2259,258.0,8.4123,0.3448,3.88,True,3
LV2261,306.0,8.6438,0.3246,3.19,True,3
LV2274,478.0,5.2106,0.3529,,False,1
LV2275,288.0,6.4781,0.3453,4.65,True,1
LV2276,1147.0,5.2387,0.3399,,False,1
LV2294,283.0,7.282,0.3735,1.59,True,3
LV2305,336.6121,5.2425,0.3551,,False,2
LV2312,619.0,2.7262,0.4798,1.68,True,1
LV2317,382.1974,7.9938,0.3474,4.12,True,5
LV2324,1162.0,6.0146,0.3292,2.48,True,4
LV2326,1057.3832,6.4907,0.4109,2.5,True,3
LV2331,1017.4718,7.7596,0.4006,2.57,True,4
LV2335,237.8963,7.7343,0.3486,2.06,True,5
LV2336,408.3909,7.6972,0.4101,3.61,True,4
LV2337,360.0,6.5211,0.4365,1.45,True,3
LV2339,607.0,4.56,0.3409,,False,1
LV2343,565.4625,6.6324,0.3936,4.55,True,3
LV2345,76.8215,7.803,0.3871,2.17,True,5
LV2347,159.2247,6.8245,0.3544,2.07,True,5
LV2348,1098.0,5.4281,0.3328,,False,1
LV2349,386.4646,6.8364,0.3994,4.86,True,3
LV2356,591.0,5.6713,0.3592,1.44,True,3
LV2359,409.0,3.0881,0.3748,1.6,True,1
LV2361,790.5229,5.8455,0.4511,4.47,True,3
LV2362,1042.9144,5.7959,0.4231,2.72,True,4
LV2365,417.2186,5.9784,0.4184,2.47,True,4
LV2366,746.0,3.3112,0.3459,1.37,True,1
LV2367,1021.0,4.0012,0.4118,,False,1
LV2369,267.841,4.4214,0.4442,1.2,True,3
LV2371,241.4305,4.4437,0.4291,,False,2
LV2377,411.0,9.1886,0.4229,4.15,True,3
LV2378,628.0386,6.9276,0.3487,2.74,True,3
LV2381,1002.0,4.0388,0.48,,False,1
LV2382,325.2413,7.5585,0.3353,3.08,True,5
LV2383,499.0,6.389,0.3642,2.3,True,3
LV2384,1073.0,5.1487,0.4017,,False,1
LV2386,1133.0,4.785,0.4291,,False,1
LV2390,368.9304,7.3117,0.3369,2.96,True,5
LV2393,1107.0,3.8381,0.489,,False,1
LV2394,533.1737,7.7226,0.4055,2.33,True,3
LV2411,386.3778,9.8613,0.4584,3.26,True,2
LV2415,78.0737,8.8904,0.4955,1.68,True,2
LV2417,161.3602,11.8631,0.4913,4.37,True,3
LV2418,244.8365,8.9548,0.4942,4.29,True,3
LV2419,123.2962,8.6101,0.4883,3.78,True,3
LV2424,93.8399,7.3414,0.4885,4.42,True,3
LV2425,468.5778,5.9923,0.4775,1.76,True,4
LV2426,36.6906,6.6827,0.4822,2.98,True,4
LV2430,481.808,8.2284,0.4672,3.52,True,3
LV2433,179.9055,9.0315,0.4624,4.75,True,5
LV2437,86.2531,8.0534,0.4855,3.19,True,3
