id,pmt_id,board_id,channel_id,measurement_time,run_id,run_type,run_tag,hv,temperature,spe_gain,dark_count_rate,after_pulse_probability,notes,energy_resolution
368,LV2238,8,2,"2026-07-24 00:00:00",xr036,relics_test,,800.0,,6.2775,382.0,,,0.317502986857826
373,LV2242,9,2,"2026-07-24 00:00:00",xr041,relics_test,,800.0,,6.631875,156.0,,,0.322872490811422
383,LV2261,11,2,"2026-07-24 00:00:00",xr051,relics_test,,800.0,,5.68875,306.0,,,0.32462096242584
371,LV2246,9,0,"2026-07-24 00:00:00",xr039,relics_test,,800.0,,5.07,338.0,,,0.328994082840237
348,LV2324,4,1,"2026-07-24 00:00:00",xr016,relics_test,,800.0,,4.816875,1162.0,,,0.329194239003503
342,LV2344,3,0,"2026-07-24 00:00:00",xr010,relics_test,,800.0,,5.09625,2407.0,,,0.330353200883002
345,LV2348,3,3,"2026-07-24 00:00:00",xr013,relics_test,,800.0,,5.428125,1098.0,,,0.332780656303972
413,LV2382,2,2,"2026-07-24 00:00:00",xr081,relics_test,,800.0,,4.685625,373.0,,,0.335334133653461
411,LV2380,2,0,"2026-07-24 00:00:00",xr079,relics_test,,800.0,,4.284375,1352.0,,,0.336630196936543
421,LV2390,4,0,"2026-07-24 00:00:00",xr089,relics_test,,800.0,,4.486875,1977.0,,,0.336941078144588
386,LV2270,12,0,"2026-07-24 00:00:00",xr054,relics_test,,800.0,,5.25375,408.0,,,0.337615988579586
429,LV2355,5,3,"2026-07-24 00:00:00",xr097,relics_test,,800.0,,4.171875,612.0,,,0.339910112359551
389,LV2276,12,3,"2026-07-24 00:00:00",xr057,relics_test,,800.0,,5.23875,1147.0,,,0.339942734430923
379,LV2255,10,3,"2026-07-24 00:00:00",xr047,relics_test,,800.0,,4.779375,289.0,,,0.340643389564535
363,LV2339,7,1,"2026-07-24 00:00:00",xr031,relics_test,,800.0,,4.56,607.0,,,0.340912828947368
367,LV2237,8,1,"2026-07-24 00:00:00",xr035,relics_test,,800.0,,4.995,546.0,,,0.340990990990991
396,LV2299,14,0,"2026-07-24 00:00:00",xr064,relics_test,,800.0,,4.078125,1395.0,,,0.342068965517241
381,LV2259,11,0,"2026-07-24 00:00:00",xr049,relics_test,,800.0,,5.19,258.0,,,0.344761560693642
357,LV2333,6,0,"2026-07-24 00:00:00",xr025,relics_test,,800.0,,3.75,1986.0,,,0.34505
416,LV2385,3,0,"2026-07-24 00:00:00",xr084,relics_test,,800.0,,3.549375,2537.0,,,0.34527205493925
388,LV2275,12,2,"2026-07-24 00:00:00",xr056,relics_test,,800.0,,6.478125,288.0,,,0.345296671490593
439,LV2366,8,0,"2026-07-24 00:00:00",xr107,relics_test,,800.0,,3.31125,746.0,,,0.345922989807475
393,LV2295,13,2,"2026-07-24 00:00:00",xr061,relics_test,,800.0,,3.87,362.0,,,0.346463178294574
332,LV2317,1,0,"2026-07-24 00:00:00",xr000,relics_test,,800.0,,5.25,618.0,,,0.347392857142857
359,LV2335,6,2,"2026-07-24 00:00:00",xr027,relics_test,,800.0,,5.068125,554.0,,,0.348575656677765
409,LV2378,1,3,"2026-07-24 00:00:00",xr077,relics_test,,800.0,,4.1475,651.0,,,0.348688969258589
364,LV2340,7,2,"2026-07-24 00:00:00",xr032,relics_test,,800.0,,4.63125,1409.0,,,0.34914979757085
378,LV2254,10,2,"2026-07-24 00:00:00",xr046,relics_test,,800.0,,5.296875,2556.0,,,0.350938053097345
377,LV2252,10,1,"2026-07-24 00:00:00",xr045,relics_test,,800.0,,4.805625,296.0,,,0.352711666016387
387,LV2274,12,1,"2026-07-24 00:00:00",xr055,relics_test,,800.0,,5.210625,478.0,,,0.35286074127384
344,LV2347,3,2,"2026-07-24 00:00:00",xr012,relics_test,,800.0,,4.5225,973.0,,,0.354353233830846
372,LV2245,9,1,"2026-07-24 00:00:00",xr040,relics_test,,800.0,,6.316875,233.0,,,0.354704660136539
399,LV2305,14,3,"2026-07-24 00:00:00",xr067,relics_test,,800.0,,5.2425,423.0,,,0.355078683834049
