====== RELICS Available PMT List (59 pcs) ======

59 PMTs selected from 82 candidates by excluding 23 occupied units
(Broken / on loan / in use, see supplemental_list.md). Selection: DCR < 1200 Hz,
Gain @ 800V > 2.0e6 e-, ER < 0.5, APP <= 5% (or no APP data).

<code>
PMT ID| Min Dark Rate [Hz]| Gain @ 800V [10^6 e-]| Min Energy Res.| APP [%]| Records
LV2204| 121.80            | 7.17               | 0.4651          | 2.4900  | 3
LV2205| 860.73            | 6.38               | 0.4997          | 2.5400  | 2
LV2206| 218.96            | 6.57               | 0.4815          | 4.9000  | 3
LV2231| 608.36            | 10.22              | 0.4680          | 4.2800  | 3
LV2234| 286.20            | 10.97              | 0.4473          | 4.6100  | 4
LV2235| 766.43            | 8.53               | 0.4787          | 4.0500  | 3
LV2236| 682.68            | 8.68               | 0.3859          | 1.9300  | 3
LV2237| 520.26            | 8.03               | 0.3410          | 2.0000  | 3
LV2259| 258.00            | 8.41               | 0.3448          | 3.8800  | 3
LV2261| 306.00            | 8.64               | 0.3246          | 3.1900  | 3
LV2274| 478.00            | 5.21               | 0.3529          | -       | 1
LV2275| 288.00            | 6.48               | 0.3453          | 4.6500  | 1
LV2276| 1147.00            | 5.24               | 0.3399          | -       | 1
LV2294| 283.00            | 7.28               | 0.3735          | 1.5900  | 3
LV2305| 336.61            | 5.24               | 0.3551          | -       | 2
LV2312| 619.00            | 2.73               | 0.4798          | 1.6800  | 1
LV2317| 382.20            | 7.99               | 0.3474          | 4.1200  | 5
LV2324| 1162.00            | 6.01               | 0.3292          | 2.4800  | 4
LV2326| 1057.38            | 6.49               | 0.4109          | 2.5000  | 3
LV2331| 1017.47            | 7.76               | 0.4006          | 2.5700  | 4
LV2335| 237.90            | 7.73               | 0.3486          | 2.0600  | 5
LV2336| 408.39            | 7.70               | 0.4101          | 3.6100  | 4
LV2337| 360.00            | 6.52               | 0.4365          | 1.4500  | 3
LV2339| 607.00            | 4.56               | 0.3409          | -       | 1
LV2343| 565.46            | 6.63               | 0.3936          | 4.5500  | 3
LV2345| 76.82            | 7.80               | 0.3871          | 2.1700  | 5
LV2347| 159.22            | 6.82               | 0.3544          | 2.0700  | 5
LV2348| 1098.00            | 5.43               | 0.3328          | -       | 1
LV2349| 386.46            | 6.84               | 0.3994          | 4.8600  | 3
LV2356| 591.00            | 5.67               | 0.3592          | 1.4400  | 3
LV2359| 409.00            | 3.09               | 0.3748          | 1.6000  | 1
LV2361| 790.52            | 5.85               | 0.4511          | 4.4700  | 3
LV2362| 1042.91            | 5.80               | 0.4231          | 2.7200  | 4
LV2365| 417.22            | 5.98               | 0.4184          | 2.4700  | 4
LV2366| 746.00            | 3.31               | 0.3459          | 1.3700  | 1
LV2367| 1021.00            | 4.00               | 0.4118          | -       | 1
LV2369| 267.84            | 4.42               | 0.4442          | 1.2000  | 3
LV2371| 241.43            | 4.44               | 0.4291          | -       | 2
LV2377| 411.00            | 9.19               | 0.4229          | 4.1500  | 3
LV2378| 628.04            | 6.93               | 0.3487          | 2.7400  | 3
LV2381| 1002.00            | 4.04               | 0.4800          | -       | 1
LV2382| 325.24            | 7.56               | 0.3353          | 3.0800  | 5
LV2383| 499.00            | 6.39               | 0.3642          | 2.3000  | 3
LV2384| 1073.00            | 5.15               | 0.4017          | -       | 1
LV2386| 1133.00            | 4.79               | 0.4291          | -       | 1
LV2390| 368.93            | 7.31               | 0.3369          | 2.9600  | 5
LV2393| 1107.00            | 3.84               | 0.4890          | -       | 1
LV2394| 533.17            | 7.72               | 0.4055          | 2.3300  | 3
LV2411| 386.38            | 9.86               | 0.4584          | 3.2600  | 2
LV2415| 78.07            | 8.89               | 0.4955          | 1.6800  | 2
LV2417| 161.36            | 11.86              | 0.4913          | 4.3700  | 3
LV2418| 244.84            | 8.95               | 0.4942          | 4.2900  | 3
LV2419| 123.30            | 8.61               | 0.4883          | 3.7800  | 3
LV2424| 93.84            | 7.34               | 0.4885          | 4.4200  | 3
LV2425| 468.58            | 5.99               | 0.4775          | 1.7600  | 4
LV2426| 36.69            | 6.68               | 0.4822          | 2.9800  | 4
LV2430| 481.81            | 8.23               | 0.4672          | 3.5200  | 3
LV2433| 179.91            | 9.03               | 0.4624          | 4.7500  | 5
LV2437| 86.25            | 8.05               | 0.4855          | 3.1900  | 3
</code>
